# Global porphyry-Cu (and Cu-Au) deposit compilation — tutorial subset.
# Top 30 entries are canonical supergiants/giants from the published literature.
# Remaining ~90 are synthetic mid-tier entries to fill out the spatio-temporal field.
# For full datasets see: Mutschler 1999 (USGS OF-99-556), Singer 2008 (USGS DDS-75),
# Cooke 2005, USGS MRDS, GSA Sedex/VMS/Porphyry compilations.
name,lon,lat,age_ma,commodity,tier
P058,60.92,44.53,161.4,Cu,medium
P059,101.95,45.36,50.3,Cu,medium
P060,28.0,47.13,12.3,Cu,medium
P061,-74.54,12.93,16.2,Cu,medium
P062,-106.19,29.86,178.4,Cu,medium
P063,133.56,-12.3,116.5,Cu,medium
P064,47.74,28.93,49.4,Cu,medium
P065,103.95,52.9,52.2,Cu,medium
P066,18.62,45.62,23.4,Cu,medium
P067,-68.87,-49.68,187.4,Cu,medium
P068,-108.24,55.07,85.6,Cu,medium
P069,147.78,2.57,35.6,Cu,medium
P070,60.58,39.0,143.5,Cu,medium
P071,60.18,50.0,99.0,Cu,medium
P072,15.04,48.48,214.8,Cu,medium
P073,-60.13,-34.73,362.1,Cu,medium
P074,-124.68,26.52,96.4,Cu,medium
P075,162.52,-12.47,35.5,Cu,medium
P076,41.86,36.67,38.7,Cu,medium
P077,61.83,42.91,304.2,Cu,medium
P078,27.48,44.5,37.8,Cu,medium
P079,-91.84,-0.35,24.2,Cu,medium
P080,-128.63,19.35,205.5,Cu,medium
P081,135.58,-2.07,151.6,Cu,medium
P082,56.65,33.33,66.1,Cu,medium
P083,77.59,42.03,35.3,Cu,medium
P084,22.17,48.64,2.0,Cu,medium
P085,-62.74,11.87,86.6,Cu,medium
P086,-129.34,18.16,73.1,Cu,medium
P087,148.23,2.73,153.4,Cu,medium
P088,64.19,28.51,382.3,Cu,medium
P089,109.16,47.87,228.8,Cu,medium
P090,29.02,45.66,0.0,Cu,medium
