# Tutorial-scale subset of Cenozoic planktonic foraminifera occurrences.
# Shape mirrors PBDB / Neptune Sandbox exports: occurrence_no, site, lon, lat, age_ma, genus, species, biome.
# For full PBDB pull see: https://paleobiodb.org/data1.2/occs/list.csv?base_name=Globigerinoidea,Globorotaliidae&interval=Cenozoic&show=coords,age
occurrence_no,site,lon,lat,age_ma,genus,species,biome
124,DSDP-525,2.9,-29.1,7.44,Globorotalia,tumida,subtropical
125,IODP-U1338,-117.9,2.5,6.9,Globorotalia,tumida,subtropical
126,IODP-U1338,-117.9,2.5,2.01,Globorotalia,tumida,subtropical
127,DSDP-289,158.5,-1.0,6.02,Globorotalia,tumida,subtropical
128,DSDP-167,-161.0,7.0,0.7,Globorotalia,tumida,subtropical
129,ODP-758,90.4,5.4,7.49,Globorotalia,tumida,subtropical
130,IODP-U1338,-117.9,2.5,1.52,Globorotalia,tumida,subtropical
131,ODP-738,82.8,-62.7,3.29,Neogloboquadrina,pachyderma,polar
132,ODP-689,3.1,-64.5,2.85,Neogloboquadrina,pachyderma,polar
133,ODP-689,3.1,-64.5,0.54,Neogloboquadrina,pachyderma,polar
134,ODP-689,3.1,-64.5,1.89,Neogloboquadrina,pachyderma,polar
135,ODP-738,82.8,-62.7,7.18,Neogloboquadrina,pachyderma,polar
136,ODP-744,80.6,-61.6,8.56,Neogloboquadrina,pachyderma,polar
137,ODP-689,3.1,-64.5,1.23,Neogloboquadrina,pachyderma,polar
138,ODP-689,3.1,-64.5,7.39,Neogloboquadrina,pachyderma,polar
139,ODP-744,80.6,-61.6,8.02,Neogloboquadrina,pachyderma,polar
140,ODP-689,3.1,-64.5,7.97,Neogloboquadrina,pachyderma,polar
141,ODP-689,3.1,-64.5,7.35,Neogloboquadrina,pachyderma,polar
142,ODP-689,3.1,-64.5,8.57,Neogloboquadrina,pachyderma,polar
143,ODP-744,80.6,-61.6,10.9,Neogloboquadrina,pachyderma,polar
144,ODP-744,80.6,-61.6,4.26,Neogloboquadrina,pachyderma,polar
145,ODP-744,80.6,-61.6,8.83,Neogloboquadrina,pachyderma,polar
146,ODP-689,3.1,-64.5,4.36,Neogloboquadrina,pachyderma,polar
147,ODP-738,82.8,-62.7,8.41,Neogloboquadrina,pachyderma,polar
148,ODP-738,82.8,-62.7,12.5,Neogloboquadrina,pachyderma,polar
149,ODP-738,82.8,-62.7,7.92,Neogloboquadrina,pachyderma,polar
150,ODP-689,3.1,-64.5,6.07,Neogloboquadrina,pachyderma,polar
151,DSDP-577,157.7,32.4,4.27,Neogloboquadrina,pachyderma,polar
152,ODP-758,90.4,5.4,7.26,Neogloboquadrina,pachyderma,polar
153,DSDP-167,-161.0,7.0,1.9,Neogloboquadrina,pachyderma,polar
154,ODP-925,-43.5,4.2,11.77,Neogloboquadrina,pachyderma,polar
155,ODP-758,90.4,5.4,0.58,Neogloboquadrina,pachyderma,polar
156,DSDP-577,157.7,32.4,3.25,Neogloboquadrina,pachyderma,polar
157,ODP-738,82.8,-62.7,5.08,Neogloboquadrina,pachyderma,polar
158,DSDP-525,2.9,-29.1,10.6,Neogloboquadrina,pachyderma,polar
159,IODP-U1448,90.4,10.8,5.58,Neogloboquadrina,pachyderma,polar
160,ODP-738,82.8,-62.7,8.54,Neogloboquadrina,pachyderma,polar
161,IODP-U1406,-46.0,40.4,9.05,Neogloboquadrina,pachyderma,polar
162,IODP-U1338,-117.9,2.5,7.34,Neogloboquadrina,pachyderma,polar
163,IODP-U1448,90.4,10.8,12.19,Neogloboquadrina,pachyderma,polar
164,ODP-925,-43.5,4.2,2.3,Neogloboquadrina,pachyderma,polar
165,IODP-U1448,90.4,10.8,11.17,Neogloboquadrina,pachyderma,polar
166,ODP-806,159.4,0.3,10.27,Neogloboquadrina,pachyderma,polar
167,DSDP-167,-161.0,7.0,6.58,Neogloboquadrina,pachyderma,polar
168,IODP-U1406,-46.0,40.4,7.19,Neogloboquadrina,pachyderma,polar
169,DSDP-577,157.7,32.4,13.27,Neogloboquadrina,pachyderma,polar
170,ODP-689,3.1,-64.5,1.22,Neogloboquadrina,pachyderma,polar
171,DSDP-525,2.9,-29.1,0.27,Neogloboquadrina,pachyderma,polar
172,ODP-758,90.4,5.4,8.4,Neogloboquadrina,pachyderma,polar
173,IODP-U1411,-49.0,41.7,1.47,Neogloboquadrina,pachyderma,polar
174,ODP-806,159.4,0.3,7.92,Neogloboquadrina,pachyderma,polar
175,DSDP-525,2.9,-29.1,8.82,Neogloboquadrina,pachyderma,polar
176,ODP-689,3.1,-64.5,5.27,Neogloboquadrina,pachyderma,polar
177,DSDP-167,-161.0,7.0,0.61,Neogloboquadrina,pachyderma,polar
178,DSDP-577,157.7,32.4,13.24,Neogloboquadrina,pachyderma,polar
179,IODP-U1338,-117.9,2.5,0.57,Neogloboquadrina,pachyderma,polar
180,ODP-806,159.4,0.3,2.54,Neogloboquadrina,pachyderma,polar
181,DSDP-289,158.5,-1.0,9.62,Neogloboquadrina,pachyderma,polar
182,IODP-U1411,-49.0,41.7,0.76,Neogloboquadrina,pachyderma,polar
183,ODP-738,82.8,-62.7,12.28,Neogloboquadrina,pachyderma,polar
184,ODP-744,80.6,-61.6,11.07,Neogloboquadrina,pachyderma,polar
185,IODP-U1406,-46.0,40.4,4.38,Neogloboquadrina,pachyderma,polar
186,IODP-U1406,-46.0,40.4,0.42,Neogloboquadrina,pachyderma,polar
187,ODP-1090,9.0,-42.9,20.55,Globigerina,bulloides,temperate
188,ODP-1090,9.0,-42.9,16.81,Globigerina,bulloides,temperate
189,ODP-1090,9.0,-42.9,14.12,Globigerina,bulloides,temperate
190,ODP-1090,9.0,-42.9,13.25,Globigerina,bulloides,temperate
191,ODP-1090,9.0,-42.9,13.53,Globigerina,bulloides,temperate
192,ODP-1090,9.0,-42.9,7.63,Globigerina,bulloides,temperate
193,ODP-1090,9.0,-42.9,3.04,Globigerina,bulloides,temperate
194,ODP-1090,9.0,-42.9,15.85,Globigerina,bulloides,temperate
195,ODP-1090,9.0,-42.9,20.41,Globigerina,bulloides,temperate
196,ODP-1090,9.0,-42.9,15.25,Globigerina,bulloides,temperate
197,ODP-1090,9.0,-42.9,10.1,Globigerina,bulloides,temperate
198,ODP-1090,9.0,-42.9,0.31,Globigerina,bulloides,temperate
199,ODP-1090,9.0,-42.9,3.35,Globigerina,bulloides,temperate
200,ODP-1090,9.0,-42.9,6.15,Globigerina,bulloides,temperate
201,ODP-1090,9.0,-42.9,22.08,Globigerina,bulloides,temperate
202,ODP-1090,9.0,-42.9,3.74,Globigerina,bulloides,temperate
203,ODP-1090,9.0,-42.9,0.36,Globigerina,bulloides,temperate
204,ODP-1090,9.0,-42.9,1.99,Globigerina,bulloides,temperate
205,ODP-1090,9.0,-42.9,8.9,Globigerina,bulloides,temperate
206,ODP-1090,9.0,-42.9,12.18,Globigerina,bulloides,temperate
207,ODP-1090,9.0,-42.9,2.12,Globigerina,bulloides,temperate
208,ODP-1090,9.0,-42.9,21.81,Globigerina,bulloides,temperate
209,ODP-1090,9.0,-42.9,4.45,Globigerina,bulloides,temperate
210,ODP-1090,9.0,-42.9,3.28,Globigerina,bulloides,temperate
211,ODP-1090,9.0,-42.9,10.19,Globigerina,bulloides,temperate
212,ODP-1090,9.0,-42.9,15.95,Globigerina,bulloides,temperate
213,ODP-1090,9.0,-42.9,22.62,Globigerina,bulloides,temperate
214,ODP-1090,9.0,-42.9,9.9,Globigerina,bulloides,temperate
215,ODP-1090,9.0,-42.9,12.5,Globigerina,bulloides,temperate
216,ODP-1090,9.0,-42.9,5.05,Globigerina,bulloides,temperate
217,ODP-1090,9.0,-42.9,1.09,Globigerina,bulloides,temperate
218,ODP-1090,9.0,-42.9,15.81,Globigerina,bulloides,temperate
219,ODP-1090,9.0,-42.9,19.74,Globigerina,bulloides,temperate
220,ODP-1090,9.0,-42.9,16.0,Globigerina,bulloides,temperate
221,ODP-1090,9.0,-42.9,21.22,Globigerina,bulloides,temperate
222,ODP-1090,9.0,-42.9,11.79,Globigerina,bulloides,temperate
223,ODP-1090,9.0,-42.9,5.06,Globigerina,bulloides,temperate
224,ODP-1090,9.0,-42.9,20.47,Globigerina,bulloides,temperate
225,ODP-1090,9.0,-42.9,6.77,Globigerina,bulloides,temperate
226,ODP-1090,9.0,-42.9,2.66,Globigerina,bulloides,temperate
227,ODP-1090,9.0,-42.9,18.01,Globigerina,bulloides,temperate
228,ODP-1090,9.0,-42.9,11.19,Globigerina,bulloides,temperate
229,IODP-U1411,-49.0,41.7,19.04,Globigerina,bulloides,temperate
230,IODP-U1411,-49.0,41.7,4.18,Globigerina,bulloides,temperate
231,IODP-U1411,-49.0,41.7,3.55,Globigerina,bulloides,temperate
232,IODP-U1406,-46.0,40.4,22.13,Globigerina,bulloides,temperate
233,IODP-U1411,-49.0,41.7,11.41,Globigerina,bulloides,temperate
234,DSDP-577,157.7,32.4,0.31,Globigerina,bulloides,temperate
235,IODP-U1411,-49.0,41.7,16.07,Globigerina,bulloides,temperate
236,IODP-U1411,-49.0,41.7,3.2,Globigerina,bulloides,temperate
237,DSDP-577,157.7,32.4,9.48,Globigerina,bulloides,temperate
238,IODP-U1411,-49.0,41.7,15.04,Globigerina,bulloides,temperate
239,DSDP-577,157.7,32.4,16.37,Globigerina,bulloides,temperate
240,IODP-U1406,-46.0,40.4,18.15,Globigerina,bulloides,temperate
241,IODP-U1411,-49.0,41.7,2.41,Globigerina,bulloides,temperate
242,DSDP-577,157.7,32.4,0.27,Globigerina,bulloides,temperate
243,DSDP-577,157.7,32.4,3.2,Globigerina,bulloides,temperate
244,IODP-U1411,-49.0,41.7,5.98,Globigerina,bulloides,temperate
245,IODP-U1406,-46.0,40.4,18.59,Globigerina,bulloides,temperate
246,DSDP-577,157.7,32.4,18.33,Globigerina,bulloides,temperate
247,DSDP-577,157.7,32.4,21.4,Globigerina,bulloides,temperate
248,IODP-U1406,-46.0,40.4,10.77,Globigerina,bulloides,temperate
249,IODP-U1411,-49.0,41.7,0.25,Globigerina,bulloides,temperate
250,DSDP-577,157.7,32.4,1.99,Globigerina,bulloides,temperate
251,DSDP-577,157.7,32.4,0.33,Globigerina,bulloides,temperate
252,IODP-U1406,-46.0,40.4,14.16,Globigerina,bulloides,temperate
253,DSDP-577,157.7,32.4,11.52,Globigerina,bulloides,temperate
254,IODP-U1406,-46.0,40.4,1.42,Globigerina,bulloides,temperate
255,DSDP-577,157.7,32.4,7.4,Globigerina,bulloides,temperate
256,DSDP-289,158.5,-1.0,23.15,Catapsydrax,dissimilis,subtropical
257,ODP-1218,-135.4,8.9,16.08,Catapsydrax,dissimilis,subtropical
258,DSDP-167,-161.0,7.0,30.08,Catapsydrax,dissimilis,subtropical
259,DSDP-167,-161.0,7.0,32.85,Catapsydrax,dissimilis,subtropical
260,IODP-U1448,90.4,10.8,16.86,Catapsydrax,dissimilis,subtropical
261,IODP-U1448,90.4,10.8,23.98,Catapsydrax,dissimilis,subtropical
262,IODP-U1338,-117.9,2.5,26.99,Catapsydrax,dissimilis,subtropical
263,ODP-758,90.4,5.4,21.72,Catapsydrax,dissimilis,subtropical
264,DSDP-525,2.9,-29.1,28.22,Catapsydrax,dissimilis,subtropical
265,ODP-758,90.4,5.4,19.09,Catapsydrax,dissimilis,subtropical
266,ODP-806,159.4,0.3,32.98,Catapsydrax,dissimilis,subtropical
267,IODP-U1448,90.4,10.8,18.31,Catapsydrax,dissimilis,subtropical
268,DSDP-289,158.5,-1.0,31.43,Catapsydrax,dissimilis,subtropical
269,DSDP-525,2.9,-29.1,15.58,Catapsydrax,dissimilis,subtropical
270,DSDP-289,158.5,-1.0,25.18,Catapsydrax,dissimilis,subtropical
271,ODP-758,90.4,5.4,34.6,Catapsydrax,dissimilis,subtropical
272,ODP-758,90.4,5.4,32.47,Catapsydrax,dissimilis,subtropical
273,ODP-758,90.4,5.4,18.11,Catapsydrax,dissimilis,subtropical
274,ODP-925,-43.5,4.2,21.59,Catapsydrax,dissimilis,subtropical
275,DSDP-289,158.5,-1.0,29.77,Catapsydrax,dissimilis,subtropical
276,ODP-758,90.4,5.4,21.09,Catapsydrax,dissimilis,subtropical
277,IODP-U1448,90.4,10.8,19.84,Catapsydrax,dissimilis,subtropical
278,IODP-U1338,-117.9,2.5,21.76,Catapsydrax,dissimilis,subtropical
279,DSDP-289,158.5,-1.0,24.4,Catapsydrax,dissimilis,subtropical
280,IODP-U1448,90.4,10.8,20.25,Catapsydrax,dissimilis,subtropical
281,DSDP-525,2.9,-29.1,24.1,Catapsydrax,dissimilis,subtropical
282,DSDP-525,2.9,-29.1,47.36,Subbotina,linaperta,cosmopolitan
283,IODP-U1411,-49.0,41.7,51.01,Subbotina,linaperta,cosmopolitan
284,IODP-U1406,-46.0,40.4,51.91,Subbotina,linaperta,cosmopolitan
285,ODP-1090,9.0,-42.9,58.0,Subbotina,linaperta,cosmopolitan
286,ODP-925,-43.5,4.2,61.95,Subbotina,linaperta,cosmopolitan
287,DSDP-289,158.5,-1.0,55.84,Subbotina,linaperta,cosmopolitan
288,IODP-U1411,-49.0,41.7,40.14,Subbotina,linaperta,cosmopolitan
289,ODP-806,159.4,0.3,40.08,Subbotina,linaperta,cosmopolitan
290,DSDP-167,-161.0,7.0,38.09,Subbotina,linaperta,cosmopolitan
291,DSDP-167,-161.0,7.0,51.71,Subbotina,linaperta,cosmopolitan
292,ODP-1218,-135.4,8.9,57.78,Subbotina,linaperta,cosmopolitan
293,ODP-758,90.4,5.4,45.61,Subbotina,linaperta,cosmopolitan
294,IODP-U1338,-117.9,2.5,58.99,Subbotina,linaperta,cosmopolitan
295,IODP-U1406,-46.0,40.4,44.07,Subbotina,linaperta,cosmopolitan
296,ODP-806,159.4,0.3,39.0,Subbotina,linaperta,cosmopolitan
297,ODP-1090,9.0,-42.9,50.41,Subbotina,linaperta,cosmopolitan
298,ODP-758,90.4,5.4,60.74,Subbotina,linaperta,cosmopolitan
299,ODP-925,-43.5,4.2,51.93,Subbotina,linaperta,cosmopolitan
300,DSDP-167,-161.0,7.0,62.9,Subbotina,linaperta,cosmopolitan
301,ODP-1090,9.0,-42.9,48.99,Subbotina,linaperta,cosmopolitan
302,DSDP-577,157.7,32.4,61.77,Subbotina,linaperta,cosmopolitan
303,ODP-758,90.4,5.4,38.34,Subbotina,linaperta,cosmopolitan
304,DSDP-525,2.9,-29.1,39.74,Subbotina,linaperta,cosmopolitan
305,ODP-806,159.4,0.3,62.54,Subbotina,linaperta,cosmopolitan
306,DSDP-289,158.5,-1.0,56.22,Subbotina,linaperta,cosmopolitan
307,DSDP-289,158.5,-1.0,46.97,Subbotina,linaperta,cosmopolitan
308,ODP-925,-43.5,4.2,54.23,Subbotina,linaperta,cosmopolitan
309,IODP-U1338,-117.9,2.5,46.1,Subbotina,linaperta,cosmopolitan
310,ODP-1090,9.0,-42.9,56.33,Subbotina,linaperta,cosmopolitan
311,IODP-U1411,-49.0,41.7,56.09,Subbotina,linaperta,cosmopolitan
312,IODP-U1411,-49.0,41.7,41.19,Subbotina,linaperta,cosmopolitan
313,ODP-758,90.4,5.4,40.36,Subbotina,linaperta,cosmopolitan
314,ODP-758,90.4,5.4,53.32,Subbotina,linaperta,cosmopolitan
315,ODP-806,159.4,0.3,54.31,Subbotina,linaperta,cosmopolitan
316,IODP-U1406,-46.0,40.4,56.68,Subbotina,linaperta,cosmopolitan
317,IODP-U1448,90.4,10.8,57.99,Morozovella,velascoensis,tropical
318,DSDP-525,2.9,-29.1,53.84,Morozovella,velascoensis,tropical
319,ODP-925,-43.5,4.2,50.56,Morozovella,velascoensis,tropical
320,DSDP-289,158.5,-1.0,54.96,Morozovella,velascoensis,tropical
321,DSDP-525,2.9,-29.1,58.5,Morozovella,velascoensis,tropical
322,IODP-U1338,-117.9,2.5,54.8,Morozovella,velascoensis,tropical
323,ODP-925,-43.5,4.2,60.03,Morozovella,velascoensis,tropical
324,IODP-U1448,90.4,10.8,54.14,Morozovella,velascoensis,tropical
325,ODP-1218,-135.4,8.9,62.73,Morozovella,velascoensis,tropical
326,ODP-1218,-135.4,8.9,58.2,Morozovella,velascoensis,tropical
327,IODP-U1338,-117.9,2.5,61.79,Morozovella,velascoensis,tropical
328,ODP-925,-43.5,4.2,64.74,Morozovella,velascoensis,tropical
329,ODP-758,90.4,5.4,64.35,Morozovella,velascoensis,tropical
330,ODP-1218,-135.4,8.9,54.97,Morozovella,velascoensis,tropical
331,ODP-758,90.4,5.4,52.78,Morozovella,velascoensis,tropical
332,IODP-U1338,-117.9,2.5,56.85,Morozovella,velascoensis,tropical
333,ODP-1218,-135.4,8.9,56.65,Morozovella,velascoensis,tropical
334,ODP-1218,-135.4,8.9,56.97,Morozovella,velascoensis,tropical
335,IODP-U1338,-117.9,2.5,62.72,Morozovella,velascoensis,tropical
336,DSDP-167,-161.0,7.0,53.54,Morozovella,velascoensis,tropical
337,ODP-925,-43.5,4.2,51.08,Morozovella,velascoensis,tropical
338,DSDP-525,2.9,-29.1,55.53,Morozovella,velascoensis,tropical
339,DSDP-167,-161.0,7.0,54.96,Acarinina,soldadoensis,subtropical
340,ODP-758,90.4,5.4,59.03,Acarinina,soldadoensis,subtropical
341,DSDP-289,158.5,-1.0,58.07,Acarinina,soldadoensis,subtropical
342,ODP-925,-43.5,4.2,56.05,Acarinina,soldadoensis,subtropical
343,ODP-758,90.4,5.4,58.73,Acarinina,soldadoensis,subtropical
344,ODP-758,90.4,5.4,58.17,Acarinina,soldadoensis,subtropical
345,IODP-U1338,-117.9,2.5,50.63,Acarinina,soldadoensis,subtropical
346,DSDP-289,158.5,-1.0,57.45,Acarinina,soldadoensis,subtropical
347,IODP-U1338,-117.9,2.5,54.97,Acarinina,soldadoensis,subtropical
348,DSDP-577,157.7,32.4,53.4,Acarinina,soldadoensis,subtropical
349,ODP-1218,-135.4,8.9,54.28,Acarinina,soldadoensis,subtropical
350,DSDP-167,-161.0,7.0,56.17,Acarinina,soldadoensis,subtropical
351,DSDP-577,157.7,32.4,48.13,Acarinina,soldadoensis,subtropical
