,Run,Age,pCO2,pCO2_pathway,S0,LandFrac,Tann,PRCann,Tann_trend,Radiation_imbalance
26,075Ma_1000ppm_S0ini_VegFix,75,1000,,1332.7,26.9,19.4,1111,-0.01,0.036
27,075Ma_1000ppm_VegHom_,75,1000,,1352.9,26.9,21.3,1209,0.008,0.055
28,075Ma_1000ppm_orb_22p0-0p00-000,75,1000,,1352.9,26.9,21.1,1214,0,0.038
29,075Ma_1000ppm_orb_24p5-0p06-090,75,1000,,1352.9,26.9,21.5,1217,0.01,0.064
30,075Ma_1000ppm_orb_24p5-0p06-180,75,1000,,1352.9,26.9,21.5,1221,0.001,0.025
31,075Ma_1000ppm_orb_24p5-0p06-270,75,1000,,1352.9,26.9,21.4,1221,0.016,0.027
32,075Ma_1500ppm__,75,1500,,1352.9,26.9,22.7,1276,0.009,0.081
33,075Ma_2000ppm__,75,2000,,1352.9,26.9,23.7,1321,0.025,0.107
34,075Ma_4000ppm__,75,4000,,1352.9,26.9,26,1422,0.012,0.169
35,080Ma_700ppm__,80,700,proxy,1352.4,26,19.8,1149,-0.009,0.075
36,080Ma_900ppm__,80,900,COPSE,1352.4,26,20.8,1192,-0.005,0.036
37,080Ma_1000ppm__,80,1000,,1352.4,26,21.2,1209,0.018,0.02
38,085Ma_600ppm__,85,600,proxy,1351.8,27.1,19.1,1122,-0.038,0.019
39,085Ma_900ppm__,85,900,COPSE,1351.8,27.1,20.7,1190,0.001,0.036
40,085Ma_1000ppm__,85,1000,,1351.8,27.1,21.1,1208,0.005,0.041
41,090Ma_500ppm__,90,500,proxy,1351.2,28,18.1,1086,0.147,0.087
42,090Ma_900ppm__,90,900,COPSE,1351.2,28,20.5,1185,0.007,0.049
43,090Ma_1000ppm__,90,1000,,1351.2,28,20.9,1203,0.016,0.044
44,095Ma_600ppm__,95,600,proxy,1350.6,28.7,18.5,1099,0.004,0.045
45,095Ma_1000ppm__,95,1000,COPSE,1350.6,28.7,20.6,1185,-0.001,0.036
46,100Ma_250ppm__,100,250,,1350,30,14.4,949,-0.009,0.016
47,100Ma_500ppm__,100,500,,1350,30,17.4,1060,-0.016,0.016
48,100Ma_900ppm__,100,900,proxy,1350,30,19.8,1158,0.003,0.072
49,100Ma_1000ppm__,100,1000,COPSE,1350,30,20.2,1176,0.002,0.068
50,100Ma_1000ppm_S0ini_,100,1000,,1332.7,30,18.8,1106,0,0.026
51,100Ma_1000ppm_S0ini_VegFix,100,1000,,1332.7,30,18.7,1098,-0.005,-0.06
52,100Ma_1000ppm_SL+40_,100,1000,,1350,29.7,20.4,1180,0.142,0.031
53,100Ma_1000ppm_SL-200_,100,1000,,1350,37.9,19.1,1120,0.014,0.015
54,100Ma_1000ppm_SL-40_,100,1000,,1350,30.7,20.1,1172,0.005,0.034
55,100Ma_1000ppm_VegHom_,100,1000,,1350,30,20.3,1184,0.005,0.068
56,100Ma_1000ppm_VegHom_SL+40,100,1000,,1350,29.7,20.5,1188,0.074,0.046
57,100Ma_1000ppm_VegHom_SL-200,100,1000,,1350,37.9,19.1,1124,-0.013,0.059
58,100Ma_1000ppm_VegHom_SL-40,100,1000,,1350,30.7,20.2,1180,0,0.01
59,100Ma_1000ppm_orb_22p0-0p00-000,100,1000,,1350,30,20.1,1178,0.005,0.067
60,100Ma_1000ppm_orb_24p5-0p06-090,100,1000,,1350,30,20.5,1187,0.007,0.043
61,100Ma_1000ppm_orb_24p5-0p06-180,100,1000,,1350,30,20.5,1185,0.011,0.051
62,100Ma_1000ppm_orb_24p5-0p06-270,100,1000,,1350,30,20.5,1183,0.007,0.045
63,100Ma_1500ppm__,100,1500,,1350,30,21.8,1243,0.025,0.081
64,100Ma_2000ppm__,100,2000,,1350,30,22.8,1289,0.017,0.114
65,100Ma_4000ppm__,100,4000,,1350,30,25.1,1394,0.011,0.158
66,105Ma_1000ppm__,105,1000,proxy,1349.5,30.5,20.3,1178,0.005,0.081
67,105Ma_1100ppm__,105,1100,COPSE,1349.5,30.5,20.7,1195,-0.001,0.077
68,110Ma_1000ppm__,110,1000,,1348.9,30.6,20.3,1161,0.001,0.035
69,110Ma_1100ppm__,110,1100,proxyCOPSE,1348.9,30.6,20.7,1177,0.002,0.027
70,115Ma_1000ppm__,115,1000,COPSE,1348.3,30.3,20.2,1152,0.002,0.052
71,115Ma_1100ppm__,115,1100,proxy,1348.3,30.3,20.6,1169,0.003,0.053
72,120Ma_1000ppm__,120,1000,proxyCOPSE,1347.7,30.4,19.8,1128,0,0.058
73,125Ma_250ppm__,125,250,,1347.2,31.1,13.5,900,-0.003,0.033
74,125Ma_500ppm__,125,500,,1347.2,31.1,16.9,1014,0,0.027
75,125Ma_900ppm__,125,900,proxy,1347.2,31.1,19.5,1116,0.001,0.034
76,125Ma_1000ppm__,125,1000,COPSE,1347.2,31.1,19.9,1135,0.003,0.039
77,125Ma_1000ppm_S0ini_,125,1000,,1332.7,31.1,18.6,1074,0,0.032
78,125Ma_1000ppm_S0ini_VegFix,125,1000,,1332.7,31.1,18.8,1090,0.001,0.042
79,125Ma_1000ppm_VegHom_,125,1000,,1347.2,31.1,20.1,1152,0.003,0.048
80,125Ma_1000ppm_orb_22p0-0p00-000,125,1000,,1347.2,31.1,19.8,1135,0.002,0.035
81,125Ma_1000ppm_orb_24p5-0p06-090,125,1000,,1347.2,31.1,20.2,1146,0.003,0.008
82,125Ma_1000ppm_orb_24p5-0p06-180,125,1000,,1347.2,31.1,20.2,1149,0.003,0.026
83,125Ma_1000ppm_orb_24p5-0p06-270,125,1000,,1347.2,31.1,20.1,1147,0.003,0.015
84,125Ma_1500ppm__,125,1500,,1347.2,31.1,21.5,1206,0.006,0.062
85,125Ma_2000ppm__,125,2000,,1347.2,31.1,22.6,1255,0.009,0.083
86,125Ma_4000ppm__,125,4000,,1347.2,31.1,24.9,1367,0.021,0.136
87,130Ma_900ppm__,130,900,proxyCOPSE,1346.6,33.5,19.1,1092,-0.015,0.023
88,130Ma_1000ppm__,130,1000,,1346.6,33.5,19.5,1111,-0.004,0.022
89,135Ma_1000ppm__,135,1000,proxyCOPSE,1346,34.2,19.3,1103,0.002,0.017
90,140Ma_900ppm__,140,900,proxyCOPSE,1345.4,34.9,18.6,1077,-0.001,0.01
91,140Ma_1000ppm__,140,1000,,1345.4,34.9,19,1096,-0.001,0.023
92,145Ma_700ppm__,145,700,proxyCOPSE,1344.8,34.3,17.5,1027,-0.013,0.022
93,145Ma_1000ppm__,145,1000,,1344.8,34.3,19.1,1093,0,0.02
94,150Ma_250ppm__,150,250,,1344.3,34.2,12,825,-0.003,0.004
95,150Ma_500ppm__,150,500,,1344.3,34.2,15.7,946,-0.005,-0.01
96,150Ma_700ppm__,150,700,COPSE,1344.3,34.2,17.3,1007,-0.035,0.027
97,150Ma_800ppm__,150,800,proxy,1344.3,34.2,18,1032,-0.009,0.023
98,150Ma_1000ppm__,150,1000,,1344.3,34.2,18.9,1072,-0.004,0.034
99,150Ma_1000ppm_S0ini_,150,1000,,1332.7,34.2,17.9,1023,-0.023,0.038
100,150Ma_1000ppm_S0ini_VegFix,150,1000,,1332.7,34.2,18.3,1066,0.003,0.012
101,150Ma_1000ppm_SL+40_,150,1000,,1344.3,33.6,19.1,1074,-0.001,0.025
102,150Ma_1000ppm_SL-40_,150,1000,,1344.3,36.5,18.6,1050,0.005,0.029
103,150Ma_1000ppm_VegHom_,150,1000,,1344.3,34.2,19.3,1110,0.001,0.016
104,150Ma_1000ppm_VegHom_SL+40,150,1000,,1344.3,33.6,19.5,1114,0,0.015
105,150Ma_1000ppm_VegHom_SL-40,150,1000,,1344.3,36.5,18.9,1087,-0.007,0.022
106,150Ma_1000ppm_orb_22p0-0p00-000,150,1000,,1344.3,34.2,18.8,1071,-0.003,0.031
107,150Ma_1000ppm_orb_24p5-0p06-090,150,1000,,1344.3,34.2,19.2,1084,0.001,0.024
108,150Ma_1000ppm_orb_24p5-0p06-180,150,1000,,1344.3,34.2,19.2,1086,0.001,0.007
109,150Ma_1000ppm_orb_24p5-0p06-270,150,1000,,1344.3,34.2,19.2,1084,0.004,0.016
110,150Ma_1500ppm__,150,1500,,1344.3,34.2,20.6,1143,0.002,0.046
111,150Ma_2000ppm__,150,2000,,1344.3,34.2,21.7,1193,0.01,0.074
112,150Ma_4000ppm__,150,4000,,1344.3,34.2,24.2,1309,0.016,0.093
113,155Ma_700ppm__,155,700,COPSE,1343.7,31.9,17.7,1018,0.057,0.043
114,155Ma_800ppm__,155,800,proxy,1343.7,31.9,18.3,1043,0.153,0.007
115,155Ma_1000ppm__,155,1000,,1343.7,31.9,19.3,1083,-0.002,0.02
116,160Ma_600ppm__,160,600,COPSE,1343.1,28.2,17.3,1005,0,0.025
117,160Ma_800ppm__,160,800,proxy,1343.1,28.2,18.7,1059,0.001,0.032
118,160Ma_1000ppm__,160,1000,,1343.1,28.2,19.7,1101,0,0.034
119,165Ma_600ppm__,165,600,COPSE,1342.5,30.5,16.8,978,0.007,0.027
120,165Ma_900ppm__,165,900,proxy,1342.5,30.5,18.8,1059,0.157,-0.029
121,165Ma_1000ppm__,165,1000,,1342.5,30.5,19.3,1078,0,0.007
122,170Ma_500ppm__,170,500,COPSE,1341.9,32.5,15.4,919,-0.005,0.021
123,170Ma_1000ppm__,170,1000,proxy,1341.9,32.5,19,1053,0,0.023
124,175Ma_250ppm__,175,250,,1341.4,33.6,10.9,785,0,0.042
125,175Ma_500ppm__,175,500,COPSE,1341.4,33.6,15,914,0.001,0.024
126,175Ma_1000ppm__,175,1000,proxy,1341.4,33.6,18.7,1051,-0.001,0.027
127,175Ma_1000ppm_S0ini_,175,1000,,1332.7,33.6,17.8,1012,0.027,0.035
128,175Ma_1000ppm_S0ini_VegFix,175,1000,,1332.7,33.6,18.3,1065,0.001,0.012
129,175Ma_1000ppm_VegHom_,175,1000,,1341.4,33.6,19,1097,0,0.016
130,175Ma_1000ppm_orb_22p0-0p00-000,175,1000,,1341.4,33.6,18.6,1050,0.004,0.009
131,175Ma_1000ppm_orb_24p5-0p06-090,175,1000,,1341.4,33.6,18.9,1060,0,0.015
132,175Ma_1000ppm_orb_24p5-0p06-180,175,1000,,1341.4,33.6,19,1067,-0.001,0.002
133,175Ma_1000ppm_orb_24p5-0p06-270,175,1000,,1341.4,33.6,19,1070,0,-0.008
134,175Ma_1500ppm__,175,1500,,1341.4,33.6,20.4,1127,0.002,0.014
135,175Ma_2000ppm__,175,2000,,1341.4,33.6,21.6,1180,-0.005,0.006
136,175Ma_4000ppm__,175,4000,,1341.4,33.6,24.1,1305,0,0.018
137,180Ma_500ppm__,180,500,COPSE,1340.9,38.2,14.1,865,-0.009,0.017
138,180Ma_900ppm__,180,900,proxy,1340.9,38.2,17.4,980,-0.007,0.001
139,180Ma_1000ppm__,180,1000,,1340.9,38.2,17.9,1000,0.005,0.015
140,185Ma_500ppm__,185,500,COPSE,1340.3,35.8,14.5,887,0.091,-0.005
141,185Ma_900ppm__,185,900,proxy,1340.3,35.8,17.8,1005,-0.002,0.006
142,185Ma_1000ppm__,185,1000,,1340.3,35.8,18.3,1026,0.018,0.005
143,190Ma_500ppm__,190,500,COPSE,1339.8,35.1,14.8,886,0.001,0.023
144,190Ma_1000ppm__,190,1000,,1339.8,35.1,18.5,1016,0,0.038
145,190Ma_1100ppm__,190,1100,proxy,1339.8,35.1,18.9,1033,0,0.033
146,195Ma_500ppm__,195,500,COPSE,1339.2,35.1,14.2,864,0,0.029
147,195Ma_1000ppm__,195,1000,,1339.2,35.1,18.1,1001,-0.016,0.005
148,195Ma_1700ppm__,195,1700,proxy,1339.2,35.1,20.5,1098,-0.114,0.059
149,200Ma_250ppm__,200,250,,1338.7,37.4,9.9,731,0.002,0.031
150,200Ma_500ppm__,200,500,COPSE,1338.7,37.4,13.9,847,-0.01,0.028
151,200Ma_1000ppm__,200,1000,,1338.7,37.4,17.8,978,0.006,0.027
152,200Ma_1000ppm_S0ini_,200,1000,,1332.7,37.4,17.2,952,0.001,0.02
153,200Ma_1000ppm_S0ini_VegFix,200,1000,,1332.7,37.4,17.6,1003,-0.009,0.016
154,200Ma_1000ppm_SL+200_,200,1000,,1338.7,32,19,1011,-0.009,0.013
155,200Ma_1000ppm_SL+40_,200,1000,,1338.7,36,18.1,990,-0.017,0.016
156,200Ma_1000ppm_VegHom_,200,1000,,1338.7,37.4,18.2,1030,0.006,0.014
157,200Ma_1000ppm_VegHom_SL+200,200,1000,,1338.7,32,19.3,1060,-0.043,0.078
158,200Ma_1000ppm_VegHom_SL+40,200,1000,,1338.7,36,18.5,1042,-0.147,0.009
159,200Ma_1000ppm_orb_22p0-0p00-000,200,1000,,1338.7,37.4,17.7,972,0.007,0.038
160,200Ma_1000ppm_orb_24p5-0p06-090,200,1000,,1338.7,37.4,18.1,997,0.021,0.001
161,200Ma_1000ppm_orb_24p5-0p06-180,200,1000,,1338.7,37.4,18.1,996,0.002,-0.009
162,200Ma_1000ppm_orb_24p5-0p06-270,200,1000,,1338.7,37.4,18.1,995,0.033,-0.013
163,200Ma_1500ppm__,200,1500,,1338.7,37.4,19.7,1052,-0.006,0.015
164,200Ma_1700ppm__,200,1700,proxy,1338.7,37.4,20.2,1074,0.019,0.023
165,200Ma_2000ppm__,200,2000,,1338.7,37.4,20.9,1102,0.005,0.024
166,200Ma_4000ppm__,200,4000,,1338.7,37.4,23.4,1223,-0.017,0.044
167,205Ma_600ppm__,205,600,COPSE,1338.1,37.1,15,873,0.001,0.034
168,205Ma_1000ppm__,205,1000,,1338.1,37.1,17.8,971,0.005,0.016
169,205Ma_1500ppm__,205,1500,proxy,1338.1,37.1,19.6,1045,0.008,0.035
170,210Ma_800ppm__,210,800,COPSE,1337.6,36.6,16.6,925,0.043,0.051
171,210Ma_1000ppm__,210,1000,,1337.6,36.6,17.7,967,-0.005,0.019
172,210Ma_1300ppm__,210,1300,proxy,1337.6,36.6,19,1017,-0.034,0.004
173,215Ma_900ppm__,215,900,COPSE,1337,36.9,17.4,962,0.001,0.032
174,215Ma_1000ppm__,215,1000,,1337,36.9,17.9,982,0,0.018
175,215Ma_1300ppm__,215,1300,proxy,1337,36.9,19.2,1032,0,0.011
176,220Ma_1000ppm__,220,1000,COPSE,1336.5,30.6,18.2,1011,0.009,0.004
177,220Ma_1600ppm__,220,1600,proxy,1336.5,30.6,20.4,1101,-0.005,0.013
178,225Ma_250ppm__,225,250,,1336,30.9,9.1,719,0.001,0.047
179,225Ma_500ppm__,225,500,,1336,30.9,13.8,844,0,0.06
180,225Ma_900ppm__,225,900,COPSE,1336,30.9,17.3,962,0,-0.005
181,225Ma_1000ppm__,225,1000,,1336,30.9,17.9,983,0.001,0.003
182,225Ma_1000ppm_S0ini_,225,1000,,1332.7,30.9,17.5,968,0,0
183,225Ma_1000ppm_S0ini_VegFix,225,1000,,1332.7,30.9,18.4,1052,0,-0.021
184,225Ma_1000ppm_VegHom_,225,1000,,1336,30.9,18.3,1032,0,-0.013
185,225Ma_1000ppm_orb_22p0-0p00-000,225,1000,,1336,30.9,17.7,981,0,0.005
186,225Ma_1000ppm_orb_24p5-0p06-090,225,1000,,1336,30.9,18.3,1003,0,0.005
187,225Ma_1000ppm_orb_24p5-0p06-180,225,1000,,1336,30.9,18.2,997,0.002,0.004
188,225Ma_1000ppm_orb_24p5-0p06-270,225,1000,,1336,30.9,18.3,993,-0.004,-0.025
189,225Ma_1500ppm__,225,1500,,1336,30.9,19.9,1059,-0.006,0.002
190,225Ma_2000ppm__,225,2000,proxy,1336,30.9,21.1,1111,-0.022,0.008
191,225Ma_4000ppm__,225,4000,,1336,30.9,23.6,1227,0.001,0.016
192,230Ma_800ppm__,230,800,COPSE,1335.4,31.6,16.5,936,0.001,0.008
193,230Ma_1000ppm__,230,1000,,1335.4,31.6,17.7,979,0.009,-0.004
194,230Ma_1900ppm__,230,1900,proxy,1335.4,31.6,20.7,1099,0,0.001
195,235Ma_800ppm__,235,800,COPSE,1334.9,32,16.6,934,0.01,0.038
196,235Ma_1000ppm__,235,1000,,1334.9,32,17.9,979,0.003,-0.004
197,235Ma_1400ppm__,235,1400,proxy,1334.9,32,19.4,1040,-0.003,0
198,240Ma_800ppm__,240,800,proxy,1334.3,31.7,16.5,942,0.026,0.008
199,240Ma_900ppm__,240,900,COPSE,1334.3,31.7,17.2,964,0.041,0.022
200,240Ma_1000ppm__,240,1000,,1334.3,31.7,17.8,984,0.004,0.016
201,245Ma_400ppm__,245,400,proxy,1333.8,31.3,12.9,818,-0.001,0.049
202,245Ma_1000ppm__,245,1000,COPSE,1333.8,31.3,18.1,992,0.001,-0.015
203,250Ma_250ppm__,250,250,,1333.2,30.8,10.3,740,0.001,0.016
204,250Ma_500ppm__,250,500,,1333.2,30.8,14.9,869,-0.001,0.022
205,250Ma_700ppm__,250,700,proxy,1333.2,30.8,16.8,933,0,0.005
206,250Ma_1000ppm__,250,1000,,1333.2,30.8,18.5,998,0.001,-0.009
207,250Ma_1000ppm_S0ini_,250,1000,,1332.7,30.8,18.5,996,-0.011,-0.01
208,250Ma_1000ppm_S0ini_VegFix,250,1000,,1332.7,30.8,18.8,1040,-0.003,-0.009
209,250Ma_1000ppm_VegHom_,250,1000,,1333.2,30.8,18.8,1039,-0.003,-0.005
210,250Ma_1000ppm_orb_22p0-0p00-000,250,1000,,1333.2,30.8,18.4,995,-0.005,-0.005
211,250Ma_1000ppm_orb_24p5-0p06-090,250,1000,,1333.2,30.8,18.7,1023,-0.048,0.021
212,250Ma_1000ppm_orb_24p5-0p06-180,250,1000,,1333.2,30.8,18.8,1016,-0.012,0.008
213,250Ma_1000ppm_orb_24p5-0p06-270,250,1000,,1333.2,30.8,18.9,1008,0.014,0.005
214,250Ma_1100ppm__,250,1100,COPSE,1333.2,30.8,18.9,1015,0.003,-0.011
215,250Ma_1500ppm__,250,1500,,1333.2,30.8,20.3,1070,-0.001,-0.02
216,250Ma_2000ppm__,250,2000,,1333.2,30.8,21.4,1120,0.009,-0.011
217,250Ma_4000ppm__,250,4000,,1333.2,30.8,23.9,1238,0.002,-0.011
218,255Ma_800ppm__,255,800,proxy,1332.7,29.6,17.6,967,-0.001,-0.004
219,255Ma_1000ppm__,255,1000,,1332.7,29.6,18.6,1007,0.002,0
220,255Ma_1300ppm__,255,1300,COPSE,1332.7,29.6,19.8,1054,0.002,0.016
